Time,Symbol,Mapped_I,Mapped_Q,First_Filter_I,First_Filter_Q,Matched_Filter_I,Matched_Filter_Q
110000, 0,     0,     0,     0,     0,     0,     0
130000, 0,     0,     0,     0,     0,     0,     0
150000, 0,     0,     0,     0,     0,     x,     x
170000, 0,     0,     0,     0,     0,     0,     0
190000, 0,     0,     0,     0,     0,     0,     0
210000, 0, 16384,     0,     0,     0,     0,     0
230000, 0,     0,     0,     0,     0,     0,     0
250000, 0,     0,     0,     0,     0,     0,     0
270000, 1,     0,     0,     0,     0,     0,     0
290000, 1, 15136, -6269,     0,     0,     0,     0
310000, 1,     0,     0,   306,     0,     0,     0
330000, 1,     0,     0,   144,     0,     0,     0
350000, 2,     0,     0,  -268,     0,     0,     0
370000, 2,  6269,-15136,  -629,     0,     0,     0
390000, 2,     0,     0,  -274,  -118,     1,     0
410000, 2,     0,     0,   223,   -56,     1,     0
430000, 3,     0,     0,   730,   102,    -3,     0
450000, 3, 11585,-11585,   834,   240,    -8,     0
470000, 3,     0,     0,   404,   -70,    -6,    -1
490000, 3,     0,     0,  -696,  -168,     4,    -1
510000, 4,     0,     0, -1790,  -127,    18,     0
530000, 4,-15136, -6269, -1963,    39,    20,     2
550000, 4,     0,     0,  -238,   -10,     2,     1
570000, 4,     0,     0,  3005,   134,   -33,    -3
590000, 5,     0,     0,  7318,   277,   -61,    -6
610000, 5,-11585,-11585, 11758,   295,   -47,    -5
630000, 5,     0,     0, 15108,   -89,    26,     1
650000, 5,     0,     0, 17435,  -742,   131,     9
670000, 6,     0,     0, 18276, -1842,   201,    12
690000, 6,     0,-16384, 17422, -3495,   161,     6
710000, 6,     0,     0, 14643, -5933,   -12,   -12
730000, 6,     0,     0, 10947, -8443,  -244,   -32
750000, 7,     0,     0,  7311,-10800,  -391,   -44
770000, 7, -6269,-15136,  5056,-12707,  -316,   -37
790000, 7,     0,     0,  5123,-14287,     4,   -14
810000, 7,     0,     0,  7430,-14663,   430,    18
830000, 8,     0,     0, 10668,-13980,   703,    40
850000, 8, 15136,  6269, 12735,-12482,   578,    38
870000, 8,     0,     0, 11616,-10903,   -14,     6
890000, 8,     0,     0,  6916, -8994,  -861,   -41
910000, 9,     0,     0,  -487, -7263, -1499,   -74
930000, 9, 11585, 11585, -8495, -6064, -1370,   -62
950000, 9,     0,     0,-14542, -5580,   -33,     9
970000, 9,     0,     0,-18017, -6227,  2643,   128
990000,10,     0,     0,-17865, -7768,  6389,   238
1010000,10,     0, 16384,-15134, -9686, 10578,   239
1030000,10,     0,     0,-10647,-11135, 14364,    -4
1050000,10,     0,     0, -6162,-12220, 16895,  -634
1070000,11,     0,     0, -2050,-13139, 17563, -1763
1090000,11,  6269, 15136,   338,-14017, 16211, -3416
1110000,11,     0,     0,   399,-14761, 13258, -5507
1130000,11,     0,     0, -1711,-15890,  9637, -7833
1150000,12,     0,     0, -4609,-17250,  6550,-10107
1170000,12,-16384,     0, -6723,-17334,  5032,-12011
1190000,12,     0,     0, -6329,-14808,  5516,-13257
1210000,12,     0,     0, -3126,-10064,  7576,-13659
1230000,13,     0,     0,  2778, -4256, 10016,-13172
1250000,13,-15136,  6269,  9386,  1578, 11295,-11907
1270000,13,     0,     0, 14409,  6244, 10152,-10121
1290000,13,     0,     0, 17427,  9184,  6142, -8193
1310000,14,     0,     0, 17360, 10299,  -127, -6558
1330000,14, -6269, 15136, 14976, 10474, -7197, -5590
1350000,14,     0,     0, 10735, 10685,-13279, -5487
1370000,14,     0,     0,  6342, 11311,-16871, -6198
1390000,15,     0,     0,  2248, 12141,-17253, -7449
1410000,15,-11585, 11585,  -226, 13448,-14664, -8857
1430000,15,     0,     0,  -521, 15368,-10167,-10119
1450000,15,     0,     0,  1494, 16971, -5261,-11143
1470000,15,     0,     0,  4609, 17245, -1408,-12071
1490000,15,     0,     0,  6934, 16271,   416,-13121
1510000,15,     0,     0,  6442, 14235,     2,-14367
1530000,15,     0,     0,  2947, 10955, -2045,-15574
1550000,15,     0,     0, -3230,  6523, -4522,-16199
1570000,15,     0,     0,-10170,  2351, -6039,-15585
1590000,15,     0,     0,-15877,  -410, -5510,-13276
1610000,15,     0,     0,-19173, -1143, -2539, -9290
1630000,15,     0,     0,-19210,   339,  2417, -4202
1650000,15,     0,     0,-17059,  3156,  8189,  1043
1670000,15,     0,     0,-13824,  6329, 13286,  5478
1690000,15,     0,     0,-10591,  8985, 16375,  8472
1710000,15,     0,     0, -7652, 11250, 16716,  9932
1730000,15,     0,     0, -5886, 12836, 14368, 10272
1750000,15,     0,     0, -5683, 13859, 10162, 10184
1770000,15,     0,     0, -6965, 14192,  5429, 10339
1790000,15,     0,     0, -9070, 14299,  1584, 11141
1810000,15,     0,     0,-10883, 13401,  -334, 12601
1830000,15,     0,     0,-11277, 11267,   -10, 14361
1850000,15,     0,     0, -9746,  7967,  2022, 15823
1870000,15,     0,     0, -6381,  4717,  4547, 16365
1890000,15,     0,     0, -2482,  1837,  6095, 15538
